year,回復局面,踊り場局面,悪化局面,分からない
2007,18.1,39.6,16.1,26.2
2008,6.2,32.8,40.6,20.4
2009,1.5,16.5,72.7,9.3
2010,10.0,36.9,32.9,20.2
2011,10.5,32.3,34.4,19.8
2012,13.0,30.2,33.5,23.3
2013,9.4,32.0,36.3,22.3
2014,25.7,36.5,14.5,23.3
2015,15.1,35.7,25.8,23.4
2016,16.4,42.2,20.1,21.2
2017, 12.5,42.4,15.9,29.2
2018,22.6,42.0,9.6,25.9
2019,9.6,37.9,27.8,24.7
2020,7.0,33.4,37.3,22.3
2021,13.4,31.1,32.4,23.1
