group,回復,悪化
金融,14.3,57.1
建設,8.7,49.0
不動産,3.1,43.8
製造,17.2,20.0
卸売,11.3,29.6
小売,0.0,14.3
運輸・倉庫,24.1,27.6
サービス,16.3,33.7
